name,price,status,shipping,free_returns,items_sold
NOTIFIER CPU2-3030D,159363,Brand New,0,False,
"New 2025 Sealed Allen Bradley 1783-CMS10DP SER A ""USA SELLER""",230000,Brand New,,False,
Used AMD RYZEN THREADRIPPER PRO 3945WX CPU Processor 12-Core 4.0GHz,32188,Pre-Owned,0,True,
Intel Core i5-6500 SR2L6 3.2GHz 4-Core LGA 1151 CPU,1998,Excellent - Refurbished,0,True,374
AMD Ryzen 9 3900X 3.80GHz 12C 24T AM4 Desktop CPU Proccessor,12999,Pre-Owned,,True,10
AMD Ryzen 5 5500 6-Core 3.6GHz Socket AM4 65W CPU Desktop Processor,9099,"Shop With Confidence, Buy From Newegg",,True,1679
(New) AMD Ryzen 7 5700X 8 Core 16 Thread AM4 Unlocked 3.4 GHz CPU OEM Tray,16999,Brand New,,True,1114
New ListingAMD Ryzen 5 7600 6-core 12-Thread 4.0 GHz Socket AM5 Processor with Heatsink Fan,13800,Pre-Owned,,True,
Intel Core i5-10600 Processor 3.3GHz (Turbo 4.8GHz) 6-Core 12M LGA1200 SRH37,8799,,,False,14
New AMD Ryzen 9 7900x CPU Processor 5.6GHz LGA 1718 12-Cores Socket AM5,28499,,,False,
NEW AMD Ryzen Threadripper 2950x 16 Core 32 Thread 3.50 GHz 180w CPU Processor,34900,,,False,
Intel Core i9-10980XE SRGSG 3.00GHz 24.75MB 18-Core LGA2066 CPU Processor,33999,,,False,203
AMD Ryzen 9 9900X 12-Core 5.6GHz CPU AM5 100-000000662,31900,,,False,
AMD EPYC 7452 32-Core 2.35Ghz 128MB Rome 7002 CPU Server Processor - Unlocked,19997,,,False,89
"Amd Ryzen 9 5900x 12-core, 24-thread Unlocked Desktop Processor Sealed",29999,,,False,
AMD Ryzen 5 9600X Processor (Zen 5) 6-Core 3.9GHz AM5 65W CPU 100-100001405WOF,18999,,,False,63
Intel Core i5-8500 3 GHz 8 GT/s LGA 1151 Desktop CPU Processor SR3XE,4499,Pre-Owned,0,True,782
Intel Core i5-7500T Processor 2.7Ghz CPU  |  2-3 Day Shipping!,2199,Pre-Owned,,True,2401
Intel Core i7-7700 CPU 3.6GHz Quad Core 8MB 65W FCLGA1151 64-bit Processor SR338,5198,Pre-Owned,,False,43
Intel Xeon E5-2690 v4 SR2N2 14 Core 2.6GHz 35MB LGA2011-3 CPU *km,1798,Pre-Owned,0,True,624
INTEL Core I7-3770S SR0PN 3.10 GHz 8 MB SmartCache 65 W Grade B SKU 14339,3499,Pre-Owned,0,True,
"New 2025 Sealed Allen Bradley 1783-CMS10DP SER A ""USA SELLER""",252300,Brand New,0,True,
