name,price,status,shipping,free_returns,items_sold
"XFX Radeon RX 470 4GB RS XXX Edition GPU | 1yr Warranty, Fast Ship!",3995,Good - Refurbished ·,0,True,723
NVIDIA TESLA P100 16GB HBM2 Graphics Video Card GPU 699-2H400-0201,8799,Pre-Owned ·,,False,192
NVIDIA Tesla M40 12GB GDDR5 Graphic Card with custom heatsink and three fans,5500,Pre-Owned ·,2000,False,67
Nvidia Tesla P4 8GB GPU Card graphics both brackets GDDR5 900-2G414-6300-000 US,11177,Open Box ·,0,False,86
ASUS Dual Radeon RX 6600 XT OC 8GB GDDR6 Graphics Card,16550,,,False,
XFX Speedster SWFT210 AMD Radeon RX 6600 8GB GDDR6 - Graphics Card  - GPU,14000,,,False,
EVGA GeForce RTX 3070 XC3 Ultra Gaming 8GB GDDR6 Graphics Card - GPU,18300,,,False,
PNY VCNT1000-PB Nvidia T1000 4x Mini DP 4GB GDDR6 PCIe 3.0 x16 Graphics Card GPU,16250,,,False,
NVIDIA GeFORCE GTX 970 FOUNDERS EDITION PC Graphics Card,1650,,,False,
"EVGA GeForce RTX 3060 Ti FTW3 ULTRA 8GB GPU Video Card - 08G-P5-3667-KR, Non-LHR",14250,,,False,
GTX 1060 3GB Graphics Card. Never Used For Mining,1050,,,False,
AISURIX RX 550 4GB GDDR5 Graphics Card,1850,,,False,
NVIDIA TESLA P100 16GB HBM2 Graphics Video Card GPU 699-2H400-0201,8997,Pre-Owned ·,,True,441
Nvidia Tesla P100 16GB Graphics Video Card PCIE - USA Seller Guaranteed!,8697,Pre-Owned ·,0,False,522
Nvidia Tesla P40 24GB GDDR5 Server GPU Server Accelerator Card Dual PCIe 3.0 x16,26900,Pre-Owned ·,,False,700
Intel ARC A750 21P02J00BA Limited Edition 8GB GDDR6 PCIe 4.0 Graphic Card,15999,Seller Refurbished - Fully Tested - 3 Year Warranty,,True,432
XFX Radeon RX 470 8GB GDDR5 RX-470P85 Video Graphics Card GPU GradeB,5999,Pre-Owned ·,,True,66
Nvidia Tesla P4 8GB graphics GDDR5 Supermicro PCI-E GPU Card,7288,Open Box,500,False,313
Nvidia Tesla P4 8GB GPU Card graphics card GDDR5 Supermicro 900-2G414-6300-000,6788,Open Box,500,False,207
Dell NVIDIA Tesla K80 HHCJ6 24GB GDDR5 GPU Accelerator Card | NO BRACKET,6498,Pre-Owned,,True,
AMD 102-D05318-02 V340L RADEON PRO 16GB GPU (2x8GB) GPU,4900,Pre-Owned ·,,True,372
New ListingEVGA GeForce GTX 1060 6GB GDDR5 PCIe Graphics Card HDMI DisplayPort DVI,6500,Pre-Owned ·,662,False,
"Nvidia P104-100 GTX 8GB Mining GPU (GeForce G100 Galax) | Fast Ship, US Seller!",3500,Pre-Owned ·,883,False,
AMD Radeon R7 250 2GB PCIE DVI DP Video Card,3499,Pre-Owned ·,0,False,
NVIDIA 699-2G503-0202-200 V100 16GB SXM2 TESLA GPU,9900,Pre-Owned ·,,True,282
Nvidia Tesla M40 24GB GPU Card GDDR5 PCI-E Graphics video cards,14588,Pre-Owned ·,,True,
GIGABYTE GTX 980 G1 Gaming GPU | Model GV-N980G1-GAMING-4GD | Tested & Working,4200,Pre-Owned ·,1518,False,
Dell NVIDIA Tesla K80 HHCJ6 24GB GDDR5 GPU Accelerator Card,7498,Pre-Owned,,True,
EVGA NVIDIA GeForce GTX 570 GPU w/ Zalman VF3000F Cooler - Serviced & Tested,5999,Pre-Owned ·,,True,
Nvidia Tesla M10 32GB GDDR5 Video Graphics Card GPU,7898,Pre-Owned ·,,False,
New ListingAMD 102-D05318-02 V340L RADEON PRO 16GB GPU (2x8GB) GPU,4900,Pre-Owned ·,,True,
ASUS NVIDIA GeForce  GTX 960 4GB  GDDR5 Gaming Graphics Card,3999,Pre-Owned ·,1368,False,
HP AMD R9 350 Radeon 2GB GDDR5 Graphics Video Card GPU 802317-001 823963-001,1898,Pre-Owned ·,,True,
ASUS DUAL-RTX4060TI-O8G-EVO Dual GeForce RTX 4060 Ti 8G  Graphc Card GPU,29999,Pre-Owned ·,,False,
Intel ARC A750 Limited Edition 8GB GDDR6 PCIe 4.0 GPU Graphics Card - 21P02J00BA,16795,Open Box ·,,False,
ASUS Strix GTX 970 DirectCU II OC 4GB GDDR5 Graphics Card GPU - TESTED & WORKING,3500,Pre-Owned ·,994,True,
XFX AMD Radeon Graphics Card Dual Fan HDMI DVI DisplayPort Multi Monitor,15000,Pre-Owned ·,926,False,
Razer Core X External GPU Enclosure RC21-0131 UNTESTED AS-IS,17500,Pre-Owned ·,0,False,
New ListingZOTAC GEFORCE GTX 1070TI MINI 8GB 256BIT GDDR5 GPU graphics card,8999,Pre-Owned ·,741,False,
AMD Radeon RX Vega 56 8GB GRAPHICS CARD GPU - Reference Edition,8499,Pre-Owned ·,883,False,
New ListingMSI AMD Radeon RX 6600 MECH 2X 8GB GDDR6 Graphics Card Tested Working GPU,18999,Pre-Owned ·,1000,False,
HP AMD Radeon RX 460 2GB GDDR5 Video Graphics Card GPU 910486-002 909607-001,3599,Pre-Owned ·,,True,
"XFX Radeon RX 480 8GB Reference Model GPU | 1yr Warranty, Fast Ship!",6995,Very Good - Refurbished ·,0,True,119
ZOTAC GAMING GeForce RTX 5060 AMP 8GB GDDR7 PCI Express 5.0 Video Graphics Card,34900,Excellent - Refurbished ·,,True,
"MSI Radeon RX 5700 8GB Mech GP OC GPU - No Backplate | 1yr Warranty, Fast Ship!",14497,Excellent - Refurbished ·,0,True,
PNY NVIDIA RTX A400 4GB GDDR6 Graphics Card 900-5G172-2260-000-01,18995,Brand New ·,,True,63
"NVIDIA GeForce GTX 980 Ti 6GB Founders Edition, Tested, New Thermal Paste",9000,Pre-Owned ·,752,False,
Blackmagic Design eGPU RX580 8GB GDDR5 External GPU Graphics - Very light used,19999,Pre-Owned ·,3625,True,
AMD FirePro W7100 8GB GDDR5 Workstation GPU 4x DisplayPort,5500,Pre-Owned ·,,False,
"AMD Radeon RX 640 4GB LP Low Profile Dell 6044M GPU | 1yr Warranty, Fast Ship!",5995,Excellent - Refurbished ·,0,True,198
MSI G3050LP6C GeForce RTX 3050 LP 6G OC Low Profile 6GB GDDR6 Graphics Card,24999,Brand New ·,,False,48
Lenovo AMD Radeon Pro WX 3200 4GB GDDR5 4x Mini DisplayPort GPU 5V10W72854,4999,Pre-Owned ·,0,False,207
SAPPHIRE PULSE AMD Radeon RX 6600 8GB GDDR6 Graphics Card,20000,Pre-Owned ·,1338,False,11
Low-Profile Nvidia Tesla P4 8GB GPU Card graphics GDDR5 Supermicro PCI-E,7470,Open Box,500,False,242
"MSI Radeon RX 470 8GB Armor Graphics Card GPU - DVI Port Only | Fast Ship, US...",4497,Pre-Owned ·,0,True,
Nvidia A10G 24GB GPU GDDR6 Graphics Card Passive Cooler Tensor Accelerator,138997,Pre-Owned ·,,False,42
PowerColor AMD Radeon 550 2GB GDDR5 GPU Graphics Card *NEW_DAMAGED BOX*,4949,Open Box ·,0,True,
PNY DUAL FAN OC GeForce RTX 5060 Ti 16GB GDDR7 PCI Express 5.0 x8 Graphics Card,50299,"Shop With Confidence, Buy From Newegg",,True,
Nvidia Tesla P4 8GB GPU Card graphics GDDR5 Supermicro PCI-E,6639,Open Box,500,False,
PNY NVIDIA Quadro K620 2GB GDDR3 Video Graphics Card GPU Full Height,1577,Excellent - Refurbished ·,0,True,
ZOTAC GAMING GEFORCE RTX 4060 8GB GDDR6 TWIN EDGE VIDEO CARD,28400,Excellent - Refurbished ·,,True,412
Nvidia Tesla A2 16GB GDDR6 PCIe 4.0 x8 GPU AI Accelerator Card Low Profile,50495,Excellent - Refurbished ·,0,True,
HP AMD Radeon RX 550 2GB GDDR5 Graphics Video Card GPU 940269-001,2900,Pre-Owned ·,980,False,
AMD Radeon RX 550 4GB GDDR5 Graphics Card for Gaming & Office PCs,4795,Pre-Owned ·,,False,104
Dell AMD Radeon Pro WX 3200 4GB GDDR5 R99GK Low Profile Desktop Graphics Card,6095,Pre-Owned ·,0,True,
ZOTAC Gaming GeForce RTX 4060 - 8GB Twin Edge Graphics Card GPU - Great Cond,26999,Pre-Owned ·,1299,False,
"Radeon Graphics Card, with 4 HDMI Monitor Graphics Card,Computer PC GPU GDDR5...",19747,Brand New ·,0,True,
NVIDIA P106-100 6GB GDDR5 192-Bit PCI-E Mining/Ai/Rendering GPU Card,4499,Pre-Owned ·,0,False,
"Radeon Graphics Card, with 4 HDMI Monitor Graphics Card,Computer PC GPU GDDR5...",19747,Brand New ·,0,True,
NVIDIA P106-100 6GB GDDR5 192-Bit PCI-E Mining/Ai/Rendering GPU Card,4499,Pre-Owned ·,0,False,
👉Nvidia Tesla Cooling Shroud P40/41 P100 V100 K80 K60 M40 GPU Accelerator Cards,3797,Brand New,0,True,
NVIDIA Tesla M60 16GB GDDR5 PCIe GPU Server Graphics Card,5999,Pre-Owned ·,1207,True,
"MSI Radeon RX 470 8GB Armor Graphics Card GPU - DVI Port Only | Fast Ship, US...",4497,Pre-Owned ·,0,True,
AsRock AMD APU BC-250 Mining/PS5 GPU Card 16GB GDDR6 MEMORY,17999,Pre-Owned ·,1495,True,
Nvidia Tesla P4 8GB GPU Card graphics GDDR5 Supermicro PCI-E,6639,Open Box,500,False,
New ListingGigabyte AMD Radeon HD 7950 (GV-R795WF3-3GD) 3GB GDDR5 Graphics Card,3495,Pre-Owned ·,,False,
Graphics Card GPU Support Bracket: GPU Sag Bracket Video Card Stand GPU Holder G,977,Brand New,,True,54
"MSI Radeon RX 5700 8GB Mech GP OC GPU - No Backplate | 1yr Warranty, Fast Ship!",14497,Excellent - Refurbished ·,0,True,
MSI Radeon R7 240 2GB GDDR3 Graphics Video Card R7-240 PCIe GPU,2699,Pre-Owned ·,0,False,
"Zotac P106-090 3GB Mining GPU Single Fan | Fast Ship, US Seller!",2497,Pre-Owned,0,True,
XFX Radeon RX 570 RS Black Edition 8GB GDDR5 Graphics Card AX-570P8D w/Box,5999,Pre-Owned ·,984,False,
New ListingGIGABYTE AERO OC GeForce RTX 4060 Ti 8GB RGB Fusion Windforce Multi Monitor GPU,35500,Pre-Owned ·,1033,False,
AMD Radeon R9 290X 4GB GDDR5 PCIe Graphics Card DVI HDMI DP GPU For Desktop,6049,Pre-Owned ·,1495,False,
MSI GeForce  4GB (GTX 1050 Ti 4GT OC) Graphics Card GPU Nvidia Overclock,7498,Pre-Owned ·,0,False,
Graphics Card GPU Support Bracket: GPU Sag Bracket Video Card Stand GPU Holder G,644,Brand New,0,False,11
NVIDIA Quadro P2000 5GB GDDR5 4x DisplayPort GPU Video Graphics Card Dell 87CG5,7997,Very Good - Refurbished ·,0,True,32
AMD FirePro W5100 4GB GDDR5 PCIe x16 4xDisplayPort GPU,2499,Pre-Owned ·,0,True,
TCTP1 DELL NVIDIA TESLA K40 12GB GDDR5 GPU GRAPHICS CARD,4999,Pre-Owned ·,0,False,
